instance_name,n,A,F,M,N,S
P3,3,,1,,-1,True
wall-p-1,8,,0,,1,True
wall-n-1,8,,0,,1,True
wall-z-1,8,,0,,1,True
G-ex,8,,0,,3,True
gnm-10-15-0,10,,0,,1,True
gnm-10-15-1,10,,1,,1,True
increase-n8-2,8,,1,,1,True
common-1-20,20,,-1,,-1,False
wall-p-2,14,,0,,1,True
increase-n8-1,8,,1,,1,True
wall-z-2,15,,0,,1,True
gnm-10-20-0,10,,1,,3,True
gnm-10-20-1,10,,2,,3,True
wall-n-2,16,,0,,1,True
ski-level3-3,15,,0,,5,True
ski-level3-2,14,,0,,5,True
common-2-20,20,,-1,,-1,False
increase-n8-3,8,,0,,1,True
increase-n10-1,10,,1,,1,True
smallworld-3-0,9,,1,,4,True
smallworld-3-1,9,,1,,2,True
ski-level3-1,16,,1,,5,True
wall-p-3,20,,0,,1,True
wall-z-3,22,,0,,1,True
increase-n10-3,10,,-1,,-1,False
wall-n-3,24,,0,,1,True
increase-n10-2,10,,2,,1,True
wall-p-4,26,,0,,1,True
dodecahedron,20,,2,,1,True
wall-z-4,29,,0,,1,True
ski-level5-3,27,,0,,7,False
ski-level5-2,26,,1,,-1,True
common-1-50,50,,-1,,-1,False
wall-n-4,32,,0,,1,True
ski-level5-1,29,,1,,-1,True
rusty-1-17,17,,0,,10,True
common-2-50,50,,-1,,-1,False
ski-illustration,36,,0,,8,True
grid-5-1,25,,0,,8,True
grid-5-0,25,,0,,14,True
grid-5-2,25,,2,,-1,True
increase-n20-1,20,,-1,,-1,False
wall-p-10,62,,0,,1,True
common-1-100,100,,-1,,-1,False
wall-z-10,71,,0,,1,True
increase-n20-3,20,,-1,,-1,False
wall-n-10,80,,0,,1,True
ski-level10-2,76,,1,,-1,True
increase-n20-2,20,,1,,1,True
ski-level10-3,77,,4,,-1,True
ski-level10-1,79,,-1,,-1,False
common-2-100,100,,-1,,-1,False
common-1-250,250,,-1,,-1,False
smallworld-10-0,100,,0,,6,True
smallworld-10-1,100,,0,,8,True
grid-10-1,100,,0,,29,True
grid-10-0,100,,0,,49,True
grid-10-2,100,,4,,-1,True
ski-level20-2,253,,9,,-1,True
ski-level20-1,252,,3,,-1,True
ski-level20-3,254,,-1,,-1,False
increase-n50-2,50,,1,,1,True
common-1-500,500,,-1,,-1,False
increase-n50-3,50,,1,,1,True
increase-n50-1,50,,-1,,-1,False
common-2-250,250,,-1,,-1,False
wall-p-100,602,,0,,1,True
wall-z-100,701,,0,,1,True
wall-n-100,800,,0,,1,True
common-1-1000,1000,,-1,,-1,False
smallworld-20-0,400,,0,,8,True
smallworld-20-1,400,,1,,14,True
gnm-1000-1500-0,1000,,1,,-1,True
gnm-1000-1500-1,1000,,2,,-1,True
increase-n100-3,100,,-1,,-1,False
