instance_name,n,A,F,M,N,S
G-ex,8,true,0,?!,3,false
P3,3,true,1,?!,-1,false
bht,5757,false,0,?!,6,false
common-1-100,100,false,-1,?!,-1,false
common-1-1000,1000,false,-1,?!,-1,false
common-1-1500,1500,false,-1,?!,-1,false
common-1-20,20,false,-1,-1,-1,false
common-1-2000,2000,false,-1,?!,-1,false
common-1-250,250,false,-1,?!,-1,false
common-1-2500,2500,false,1,?!,6,true
common-1-3000,3000,false,1,?!,6,true
common-1-3500,3500,false,1,?!,6,true
common-1-4000,4000,false,1,?!,6,true
common-1-4500,4500,true,1,?!,6,true
common-1-50,50,false,-1,?!,-1,false
common-1-500,500,false,-1,?!,-1,false
common-1-5000,5000,true,1,?!,6,true
common-1-5757,5757,true,1,?!,6,true
common-2-100,100,false,-1,?!,-1,false
common-2-1000,1000,true,1,?!,4,true
common-2-1500,1500,true,1,?!,4,true
common-2-20,20,false,-1,?!,-1,false
common-2-2000,2000,true,1,?!,4,true
common-2-250,250,false,-1,?!,-1,false
common-2-2500,2500,true,1,?!,4,true
common-2-3000,3000,true,1,?!,4,true
common-2-3500,3500,true,1,?!,4,true
common-2-4000,4000,true,1,?!,4,true
common-2-4500,4500,true,1,?!,4,true
common-2-50,50,false,-1,?!,-1,false
common-2-500,500,true,1,?!,4,true
common-2-5000,5000,true,1,?!,4,true
common-2-5757,5757,true,1,?!,4,true
dodecahedron,20,false,2,?!,1,true
gnm-10-15-0,10,false,0,?!,1,false
gnm-10-15-1,10,true,1,?!,1,true
gnm-10-20-0,10,false,1,?!,3,true
gnm-10-20-1,10,true,2,?!,3,true
gnm-1000-1500-0,1000,false,1,?!,-1,false
gnm-1000-1500-1,1000,false,2,?!,-1,false
gnm-1000-2000-0,1000,false,0,?!,7,false
gnm-1000-2000-1,1000,false,2,?!,-1,true
gnm-2000-3000-0,2000,false,0,?!,8,false
gnm-2000-3000-1,2000,true,2,?!,-1,true
gnm-2000-4000-0,2000,false,0,?!,6,false
gnm-2000-4000-1,2000,false,0,?!,5,false
gnm-3000-4500-0,3000,false,0,?!,10,false
gnm-3000-4500-1,3000,false,2,?!,-1,false
gnm-3000-6000-0,3000,false,0,?!,6,false
gnm-3000-6000-1,3000,false,2,?!,6,true
gnm-4000-6000-0,4000,false,0,?!,7,false
gnm-4000-6000-1,4000,false,1,?!,15,true
gnm-4000-8000-0,4000,false,0,?!,5,false
gnm-4000-8000-1,4000,true,2,?!,6,true
gnm-5000-10000-0,5000,false,2,?!,5,true
gnm-5000-10000-1,5000,true,1,?!,5,true
gnm-5000-7500-0,5000,false,-1,?!,-1,false
gnm-5000-7500-1,5000,false,-1,?!,-1,false
grid-10-0,100,false,0,?!,49,false
grid-10-1,100,false,0,?!,29,false
grid-10-2,100,true,2,?!,-1,false
grid-25-0,625,true,0,?!,324,false
grid-25-1,625,true,0,?!,123,false
grid-25-2,625,true,5,?!,-1,false
grid-5-0,25,true,0,?!,14,false
grid-5-1,25,true,0,?!,8,false
grid-5-2,25,true,1,?!,-1,false
grid-50-0,2500,false,0,?!,1249,false
grid-50-1,2500,false,0,?!,521,false
grid-50-2,2500,false,11,?!,-1,true
increase-n10-1,10,true,1,2,1,true
increase-n10-2,10,true,2,3,1,true
increase-n10-3,10,false,-1,-1,-1,false
increase-n100-1,100,false,-1,-1,-1,false
increase-n100-2,100,true,2,13,1,true
increase-n100-3,100,false,-1,-1,-1,false
increase-n20-1,20,false,-1,-1,-1,false
increase-n20-2,20,true,1,5,1,true
increase-n20-3,20,false,-1,-1,-1,false
increase-n50-1,50,false,-1,-1,-1,false
increase-n50-2,50,true,1,5,1,true
increase-n50-3,50,true,1,4,1,true
increase-n500-1,500,true,2,16,1,true
increase-n500-2,500,true,1,17,1,true
increase-n500-3,500,true,1,16,1,true
increase-n8-1,8,true,1,2,1,true
increase-n8-2,8,true,1,1,1,true
increase-n8-3,8,true,0,1,1,true
rusty-1-17,17,false,0,?!,10,false
rusty-1-2000,2000,false,-1,?!,-1,false
rusty-1-2500,2500,false,-1,?!,-1,false
rusty-1-3000,3000,false,0,?!,14,false
rusty-1-3500,3500,false,0,?!,14,false
rusty-1-4000,4000,false,0,?!,13,false
rusty-1-4500,4500,false,0,?!,7,false
rusty-1-5000,5000,false,0,?!,7,false
rusty-1-5757,5757,false,0,?!,7,false
rusty-2-2000,2000,false,0,?!,5,false
rusty-2-2500,2500,false,0,?!,4,false
rusty-2-3000,3000,false,0,?!,4,false
rusty-2-3500,3500,false,0,?!,4,false
rusty-2-4000,4000,false,0,?!,4,false
rusty-2-4500,4500,false,0,?!,4,false
rusty-2-5000,5000,false,0,?!,4,false
rusty-2-5757,5757,false,0,?!,4,false
ski-illustration,36,false,0,1,8,true
ski-level10-1,79,false,-1,-1,-1,false
ski-level10-2,76,false,1,4,-1,true
ski-level10-3,77,false,4,7,-1,true
ski-level20-1,252,false,3,10,-1,true
ski-level20-2,253,false,9,14,-1,true
ski-level20-3,254,false,-1,-1,-1,false
ski-level3-1,16,true,1,3,5,true
ski-level3-2,14,false,0,1,5,true
ski-level3-3,15,false,0,1,5,true
ski-level5-1,29,false,1,3,-1,true
ski-level5-2,26,false,1,2,-1,true
ski-level5-3,27,false,0,0,7,false
smallworld-10-0,100,false,0,?!,6,false
smallworld-10-1,100,true,0,?!,8,false
smallworld-20-0,400,false,0,?!,8,false
smallworld-20-1,400,true,1,?!,14,true
smallworld-3-0,9,false,1,?!,4,true
smallworld-3-1,9,false,1,?!,2,true
smallworld-30-0,900,false,0,?!,9,false
smallworld-30-1,900,true,1,?!,11,true
smallworld-40-0,1600,false,0,?!,8,false
smallworld-40-1,1600,true,1,?!,13,true
smallworld-50-0,2500,false,0,?!,3,false
smallworld-50-1,2500,true,2,?!,-1,true
wall-n-1,8,false,0,?!,1,false
wall-n-10,80,false,0,?!,1,false
wall-n-100,800,false,0,?!,1,false
wall-n-1000,8000,false,0,?!,1,false
wall-n-10000,80000,false,0,?!,1,false
wall-n-2,16,false,0,?!,1,false
wall-n-3,24,false,0,?!,1,false
wall-n-4,32,false,0,?!,1,false
wall-p-1,8,false,0,?!,1,false
wall-p-10,62,false,0,?!,1,false
wall-p-100,602,false,0,?!,1,false
wall-p-1000,6002,false,0,?!,1,false
wall-p-10000,60002,false,0,?!,1,false
wall-p-2,14,false,0,?!,1,false
wall-p-3,20,false,0,?!,1,false
wall-p-4,26,false,0,?!,1,false
wall-z-1,8,false,0,?!,1,false
wall-z-10,71,false,0,?!,1,false
wall-z-100,701,false,0,?!,1,false
wall-z-1000,7001,false,0,?!,1,false
wall-z-10000,70001,false,0,?!,1,false
wall-z-2,15,false,0,?!,1,false
wall-z-3,22,false,0,?!,1,false
wall-z-4,29,false,0,?!,1,false
